,0,1,2,3,4,5,6,7
101,0.35898077,0.6713692,0.6184134,0.6197584,0.7296236,-0.5662313,0.4860348,0.6032982
102,0.387988,0.55228597,0.42423528,0.5986662,0.61382115,-0.5133811,0.46242005,0.5311773
103,0.5916814,0.682095,0.67989916,0.63389724,0.7283809,-0.65307194,0.7250947,0.63489044
104,0.2649151,0.6394785,0.52643555,0.59470904,0.53640026,-0.6369647,0.34074762,0.51835626
105,0.23752442,0.7074574,0.5119482,0.6501099,0.6219421,-0.67125344,0.4884996,0.6716565
106,0.7178302,0.6983741,0.6261613,0.6030086,0.6683421,-0.59881,0.68244267,0.6763273
107,0.24551336,0.62321866,0.53320324,0.48051333,0.46945685,-0.6334154,0.5384839,0.58969206
108,0.30981198,0.71794665,0.59142286,0.67392445,0.6455749,-0.6534799,0.5916425,0.7289741
109,0.63333297,0.6555666,0.61272275,0.73717993,0.6257024,-0.7260944,0.5830189,0.7356954
110,0.5261308,0.57852,0.6085591,0.7920764,0.7231688,-0.5783333,0.6350341,0.46129578
111,0.088340685,0.75426346,0.499503,0.61935794,0.58423775,-0.67339826,0.46696022,0.771636
112,0.13452132,0.7593823,0.5941787,0.84933764,0.6795442,-0.79106575,0.41687518,0.7729917
113,0.7094469,0.65888613,0.7696174,0.8055458,0.7941155,-0.6631718,0.7285003,0.7459053
114,0.5513187,0.60519475,0.6023539,0.54711795,0.539512,-0.6365734,0.6874492,0.5689188
115,0.82654893,0.6039593,0.6886741,0.6562486,0.7087724,-0.7742693,0.6383204,0.6717257
116,0.6325241,0.6277891,0.58930755,0.68712217,0.49015155,-0.6415111,0.45231783,0.63788337
117,0.57919514,0.66563284,0.70480347,0.87790686,0.75037646,-0.6896926,0.66450477,0.82424295
