Outcode,Latitude,Longitude
DY11,52.382557,-2.258012
DY12,52.382574,-2.343756
DY13,52.324178,-2.283647
DY14,52.383725,-2.419712
DY2,52.492336,-2.085178
DY3,52.527922,-2.166603
DY4,52.5328,-2.054678
DY5,52.485945,-2.121581
DY6,52.496759,-2.173682
DY7,52.480567,-2.22685
DY8,52.45348,-2.157326
DY9,52.414482,-2.114541
E1,51.514997,-0.058707
E10,51.566937,-0.02058
E11,51.570225,0.016903
E12,51.55312,0.049956
E13,51.526833,0.025686
E14,51.502526,-0.017603
E15,51.538668,-0.000002
E16,51.511717,0.008797
E17,51.586008,-0.01838
E18,51.592584,0.025743
E1W,51.508,-0.058
E2,51.529447,-0.060197
E3,51.528805,-0.022753
E4,51.634048,-0.005886
E5,51.56232,-0.052916
E6,51.525507,0.057241
E7,51.547208,0.027899
E8,51.543908,-0.066085
E9,51.543915,-0.04111
EC1,51.52416,-0.096177
EC1A,51.52,-0.103
EC1M,51.520874,-0.104983
EC1N,51.52,-0.108
EC1R,51.525471,-0.107929
EC1V,51.527448,-0.095442
EC1Y,51.523,-0.093
EC2,51.520232,-0.094691
EC2A,51.523,-0.085
EC2M,51.518,-0.086
EC2N,51.519565,-0.096894
EC2R,51.517,-0.092
EC2V,51.516,-0.093
EC2Y,51.520875,-0.099838
EC3,51.516282,-0.091746
EC3A,51.515,-0.081
EC3M,51.512,-0.083
EC3N,51.513,-0.079
EC3P,51.52,-0.101
EC3R,51.512,-0.085
EC3V,51.517594,-0.097625
EC4,51.516936,-0.099089
EC4A,51.516,-0.107
EC4M,51.515,-0.1
EC4N,51.517592,-0.099089
EC4R,51.512,-0.091
EC4V,51.513,-0.1
EC4Y,51.514,-0.107
EH1,55.95246,-3.193287
EH10,55.911085,-3.209224
EH11,55.931822,-3.259573
EH12,55.938025,-3.289028
EH13,55.914516,-3.250549
EH14,55.890045,-3.313271
EH15,55.949294,-3.11464
EH16,55.920213,-3.147799
EH17,55.907,-3.142
EH18,55.877368,-3.12549
EH19,55.869098,-3.098223
EH2,55.954426,-3.19428
EH20,55.880631,-3.141154
EH21,55.939,-3.045
EH22,55.892311,-3.043981
EH23,55.825999,-3.071295
EH24,55.851,-3.133
EH25,55.849896,-3.188347
EH26,55.833,-3.224
EH27,55.89,-3.422
EH28,55.914962,-3.488545
EH29,55.958629,-3.325925
EH3,55.95544,-3.199752
EH30,55.977132,-3.343232
EH31,56.044746,-2.78237
EH32,55.98128,-2.922538
EH33,55.939938,-2.924859
EH34,55.909708,-2.888197
EH35,55.911,-2.942
EH36,55.856,-2.851
EH37,55.862,-2.96
EH38,55.786,-2.96
EH39,56.022239,-2.729134
EH4,55.964883,-3.266006
EH40,55.99,-2.655
EH41,55.948,-2.774
EH42,55.986639,-2.529941
EH43,55.624,-3.01
EH44,55.630819,-3.117536
EH45,55.655,-3.191
EH46,55.737,-3.35
EH47,55.8487,-3.657962
EH48,55.904639,-3.68306
EH49,55.976,-3.598
EH5,55.973644,-3.216067
EH51,56.011,-3.605
EH52,55.935884,-3.533657
EH53,55.894,-3.476
EH54,55.887069,-3.531673
EH55,55.827129,-3.586158
EH6,55.974212,-3.16994
EH7,55.961516,-3.160533
EH8,55.948574,-3.157292
EH9,55.93123,-3.185591
EN1,51.65707,-0.064145
EN10,51.737466,-0.038469
EN11,51.765161,-0.020712
EN2,51.66756,-0.104104
EN3,51.659716,-0.043503
EN4,51.654983,-0.16244
EN5,51.657535,-0.212605
EN6,51.703122,-0.182729
EN7,51.707789,-0.068741
EN8,51.699894,-0.034704
EN9,51.705839,0.019222
EX1,50.735387,-3.495332
EX10,50.716999,-3.258028
EX11,50.742373,-3.291821
EX12,50.711479,-3.101514
EX13,50.79597,-3.005628
EX14,50.833567,-3.182384
EX15,50.867547,-3.312843
EX16,50.939876,-3.513306
EX17,50.836527,-3.728982
EX18,50.89332,-3.900604
EX19,50.890882,-4.009567
EX2,50.698819,-3.526343
EX20,50.772251,-4.047948
EX21,50.799841,-4.215507
EX22,50.834593,-4.377198
EX23,50.811782,-4.544738
EX24,50.740181,-3.118285
EX3,50.695845,-3.454003
EX31,51.091432,-4.019402
EX32,51.070289,-3.957099
EX33,51.116494,-4.149066
EX34,51.185742,-4.097032
EX35,51.219583,-3.797174
EX36,51.021587,-3.767475
EX37,50.979092,-3.939565
EX38,50.938861,-4.147522
EX39,51.039546,-4.386887
EX4,50.741851,-3.552241
EX5,50.764172,-3.464934
EX6,50.677,-3.597
EX7,50.592,-3.473
EX8,50.629,-3.401
EX9,50.639,-3.323
FK1,55.944042,-3.808719
FK10,56.115,-3.781
FK11,56.15,-3.85
FK12,56.135235,-3.800051
FK13,56.151,-3.74
FK14,56.166,-3.66
FK15,56.203,-3.949
FK16,56.191,-4.059
FK17,56.24,-4.219
FK18,56.325,-4.328
FK19,56.371,-4.313
FK2,56.018196,-3.760685
FK20,56.406,-4.63
FK21,56.466,-4.319
FK3,56.013813,-3.714347
FK4,55.997,-3.906
FK5,56.025,-3.818
FK6,56.022,-3.915
FK7,56.097,-3.917
FK8,56.131,-4.051
FK9,56.142,-3.94
FY1,53.815688,-3.043205
FY2,53.845,-3.039
FY3,53.821,-3.021
FY4,53.791,-3.028
FY5,53.874,-3.021
FY6,53.868,-2.981
FY7,53.916,-3.026
FY8,53.755768,-2.989812
G1,55.860728,-4.250792
G11,55.875426,-4.28626
G12,55.881937,-4.30071
G13,55.894,-4.347
G14,55.879865,-4.356199
G15,55.91,-4.365
G2,55.863181,-4.256355
G20,55.886,-4.282
G21,55.881,-4.22
G22,55.89,-4.251
G23,55.906808,-4.280199
G3,55.86522,-4.273145
G31,55.857,-4.208
G32,55.845503,-4.168896
G33,55.876658,-4.160782
G34,55.86876,-4.115423
G4,55.866838,-4.256146
G40,55.848,-4.222
G41,55.838,-4.282
G42,55.833009,-4.253158
G43,55.818,-4.29
G44,55.814,-4.255
G45,55.805,-4.231
G46,55.804,-4.307
G5,55.848,-4.252
G51,55.858,-4.314
G52,55.848,-4.348
G53,55.827206,-4.339707
G60,55.922,-4.453
G61,55.919,-4.33
G62,55.943,-4.32
G63,56.042,-4.364
G64,55.91953,-4.22368
G65,55.973,-4.057
G66,55.941,-4.153
G67,55.947,-3.985
G68,55.953,-4.01
G69,55.874,-4.102
G71,55.822,-4.073
G72,55.804,-4.128
G73,55.82,-4.206
G74,55.769,-4.173
G76,55.778,-4.272
G77,55.752824,-4.354188
G78,55.780391,-4.453932
G81,55.913,-4.406
G82,55.952,-4.574
G83,56.012,-4.585
G84,56.050724,-4.768682
GL1,51.853212,-2.242429
GL10,51.743,-2.284
GL11,51.689,-2.356
GL12,51.625,-2.385
GL13,51.693,-2.459
GL14,51.806257,-2.452208
GL15,51.731353,-2.572762
GL16,51.800499,-2.613216
GL17,51.861199,-2.509897
GL18,51.948789,-2.41072
GL19,51.940483,-2.290061
GL2,51.846,-2.267
