,0,1
305,1.507353,-3.5303638
306,1.4386909,-3.5295556
307,0.32423094,-2.798281
308,1.8746048,-1.3189625
309,0.31528935,-1.5500433
310,0.37612814,-2.8475888
311,1.576022,-3.5865543
312,0.3547934,-2.1506095
313,0.9250903,-3.3636444
314,-8.253511,2.0651977
315,1.1879916,-3.5568473
316,1.2023319,-3.5316348
317,4.478927,-4.037237
318,5.6725774,-5.3622246
319,1.1889416,-2.829778
320,3.9728923,-4.22021
321,0.99106985,-2.572882
322,0.14859067,-2.6497703
323,0.09303389,-2.6210988
324,2.4815135,-1.3841152
325,0.25367698,-0.3988383
326,0.36619988,-2.8069365
327,1.1802121,-3.1371226
328,0.24591146,-2.7964334
329,0.32694852,-2.2821515
330,2.4673114,-1.4984539
331,1.2014766,-3.249041
332,0.22710852,-2.7922995
333,0.29082027,-2.8303263
334,2.7551706,-2.1779628
335,-0.3405413,-1.0270976
336,-0.23660386,-1.1800691
337,4.6230483,-2.326033
338,-0.08366627,-1.7081679
339,0.49235654,-1.3902131
340,1.398266,-3.511156
341,2.147618,-2.1896255
342,0.60373837,-1.2636852
343,0.41472188,-2.4796653
344,1.51023,-3.438615
345,1.8072838,-2.861727
346,1.5041258,-3.5064259
347,1.9763907,-3.5528433
348,1.8415024,-2.3586302
349,0.99847484,-1.0278443
350,1.456863,-2.6993442
351,0.045343645,-0.28163207
352,-3.7971764,3.1089835
353,-1.6320721,1.2134949
354,1.8769212,-2.864046
355,0.38553053,-1.3632373
356,3.3238645,-0.7888914
357,5.7560434,-5.1222515
358,-0.18205863,-1.5885227
359,3.6798093,-1.6298615
360,-2.3245475,0.95554507
361,0.13944012,0.2487494
362,0.7959001,0.7655735
363,0.33535826,0.85036474
364,-0.0013238773,3.0429387
365,3.3718803,-0.920073
366,2.3575013,0.84705454
367,3.1104462,-2.553995
368,-3.7981212,2.7389889
369,-0.14123389,0.5788826
370,-0.114226215,-0.514771
371,3.13115,-0.6012672
372,3.319218,-1.2176714
373,0.1555208,0.34031078
374,-1.9857706,2.0517008
375,-3.1329796,2.911657
376,0.5271123,1.258379
377,-3.091442,2.361665
378,4.292651,-3.2211065
379,1.7919092,0.20086329
380,2.9406924,-1.9094694
381,4.5568914,-3.0141776
382,3.7511947,-3.4042435
383,-3.0564327,2.3001382
384,0.67657,0.13926335
385,2.3080678,-3.1412678
386,1.9091033,0.9737533
387,3.6896863,-0.7907182
388,-1.1232888,1.8082471
389,3.0126855,-1.4757156
390,-2.5757449,3.055003
391,0.9810935,1.3754668
392,3.3467042,-2.8996005
393,3.0883482,-2.6658726
394,1.7575004,-0.9788263
395,-0.5041169,0.95155567
396,1.6083791,1.3761848
397,0.17591421,0.5017967
398,-2.5552459,2.526589
399,3.471794,-1.7649318
400,2.495201,0.6600022
401,0.78192055,1.512204
402,2.8380034,-2.821381
403,3.6264312,-2.4981828
404,4.6555185,-2.6227994
405,1.6292803,-2.481236
406,-1.1974925,1.3275274
407,-0.5138648,0.82397807
408,5.8700027,-5.30088
409,1.9473191,-0.24048616
410,2.0796752,-1.0044866
411,1.6468928,-0.033653155
412,-0.70473576,1.5147046
413,-1.3024188,1.0673989
414,5.4570293,-2.7210429
415,1.2511264,1.4249765
416,5.1680326,-2.6315043
417,2.4221954,-0.106924355
418,3.2212226,-2.930685
419,3.7149265,-3.0762656
420,3.699769,-2.4733534
421,3.7075462,-2.4951177
422,2.265999,0.7304481
423,4.388838,-4.2323833
424,-6.1774473,2.6068618
425,4.602425,-3.3833525
426,0.67488766,0.41288626
427,6.2747564,-4.7004576
428,5.8455744,-4.263892
429,5.6353703,-4.398386
430,4.263676,-4.289229
431,3.1651304,-2.3296356
432,4.9226866,-3.6745744
433,4.16566,-3.873744
434,4.4581604,-4.0738983
435,5.4150276,-4.7732787
436,4.0827374,-3.1624362
437,-7.122995,2.2387042
438,-6.6903267,3.1052077
439,-6.9074397,2.1848571
440,-4.7767224,2.7481124
441,0.1030973,-0.15003996
442,-6.5474052,2.616069
443,5.2745137,-3.6699038
444,2.9455159,0.22751361
445,4.110202,-0.5010015
446,-0.20182279,0.70804036
447,3.8259442,-1.7093484
448,2.8082292,-2.1570857
449,2.0466719,-0.32959422
450,-0.249584,1.9250678
